ID,FF,composition,T,Hydration,Q_FF,Q_OP,Q_OP_tails,Q_OP_heads
299,Berger and Modified Höltje model for cholesterol,CHOL:POPC (1:1),298.0,80.6,0.8835,0.1104,0.1218,0.0167
680,Lipid17,CHOL:POPC (1:8),298.15,50.0,0.8763,,,
706,MacRog,CHOL:POPC (1:4),298.15,50.0,0.8614,,,
405,ECC-lipids,POPC (1),313.0,50.0,0.8515,,,
584,Lipid14,POPC (1),313.0,31.0,0.8513,,,
657,Lipid17,POPC (1),298.15,50.0,0.8504,0.6659,0.7211,0.5554
473,"GROMOS-CKP, GROMOS NH3 charges and PME",POPS (1),298.0,35.0,0.8487,0.4209,0.5689,0.1252
204,ECC-lipids,POPC (1),313.0,50.0,0.8408,,,
206,Berger and Modified Höltje model for cholesterol,CHOL:POPC (11:21),298.0,53.1,0.8391,0.0627,0.073,0.0421
677,MacRog,CHOL:POPC (1:4),298.15,50.0,0.8223,,,
752,Charmm-Drude polarizable2023,POPC (1),303.0,31.1,0.8172,,,
749,Charmm-Drude polarizable,POPC (1),303.0,31.1,0.8059,,,
684,Lipid17,POPC (1),298.15,50.0,0.7976,0.6725,0.7239,0.5697
602,GAFFlipid,POPC (1),303.0,31.3,0.7804,,,
734,Charmm-Drude,POPC (1),303.0,50.0,0.7691,,,
535,"GROMOS-CKP, Berger/Chiu NH3 charges and PME",POPS (1),298.0,35.0,0.7687,0.3373,0.4042,0.2036
425,"GROMOS-CKP, GROMOS NH3 charges and PME",POPS (1),298.0,35.0,0.7628,0.4262,0.5631,0.1525
617,Slipids,POPC (1),298.0,46.8,0.7597,0.6921,0.7281,0.6203
263,CHARMM36-UA,POPS (1),298.0,35.0,0.7549,0.1731,0.1286,0.2621
696,Slipids,POPC (1),298.15,50.0,0.7477,0.6426,0.669,0.5897
665,MacRog,CHOL:POPC (1:8),298.15,50.0,0.7474,,,
462,CHARMM36,POPC (1),303.0,40.0,0.7433,,,
728,CHARMM36-LJPME,DPPC (1),323.0,31.0,0.7403,,,
521,Lipid17 and ff99 ions,POPS (1),298.0,50.0,0.7368,0.1766,0.1967,0.1364
663,Lipid17,CHOL:POPC (1:8),298.15,50.0,0.7302,,,
224,CHARMM36,POPC (1),303.0,31.6,0.7295,,,
361,CHARMM36,POPC (1),303.0,40.0,0.7294,,,
554,CHARMM36,POPC (1),303.0,40.0,0.7254,,,
98,CHARMM36,POPC (1),303.0,40.0,0.7247,,,
310,CHARMM36,POPC (1),303.0,31.6,0.7236,,,
597,"GROMOS-CKP, Berger/Chiu NH3 charges and PME",POPS (1),298.0,35.0,0.7233,0.4482,0.5654,0.2137
281,CHARMM36,POPC (1),303.0,31.6,0.7216,,,
99,CHARMM36,POPC (1),303.0,40.0,0.6979,,,
70,CHARMM36,POPC (1),303.0,40.0,0.6936,,,
123,CHARMM36,POPC (1),303.0,40.0,0.6903,,,
428,CHARMM36,POPC (1),303.0,40.0,0.6853,,,
689,Lipid17,CHOL:POPC (1:8),298.15,50.0,0.6837,,,
433,CHARMM36,POPC (1),303.0,40.0,0.6821,,,
90,CHARMM36 noNBFIX,POPC (1),303.0,45.0,0.6738,,,
541,CHARMM36,POPC (1),303.0,31.6,0.6709,,,
301,CHARMM36,POPC (1),303.0,40.0,0.6697,,,
697,Slipids,CHOL:POPC (1:8),298.15,50.0,0.6687,,,
41,Berger-DPPC-98,DPPC (1),323.0,40.0,0.6449,,,
501,Berger,DMPC (1),323.0,39.8,0.6407,,,
563,CHARMM36,POPC (1),303.15,40.0,0.6362,,,
695,MacRog,CHOL:POPC (1:8),298.15,50.0,0.6244,,,
144,"CHARMM36 (center of mass removed independently for upper leaflet, lower leaflet and water+ions)",POPC (1),303.0,31.1,0.6184,,,
708,Slipids,POPC (1),298.15,50.0,0.581,0.5997,0.6178,0.5637
463,Slipids,DPPC (1),323.0,30.0,0.5802,,,
681,Slipids,CHOL:POPC (1:8),298.15,50.0,0.5617,,,
612,CHARMM36,POPC (1),303.0,40.0,0.5568,,,
573,ECC-lipids,POPC (1),300.0,50.0,0.5511,0.5506,0.4978,0.6565
660,MacRog,CHOL:POPC (1:8),298.15,50.0,0.5363,,,
367,CHARMM36-UA,POPS (1),298.0,35.0,0.5294,0.135,0.0901,0.2248
672,Slipids,CHOL:POPC (1:8),298.15,50.0,0.5226,,,
430,CHARMM36,POPE (1),310.0,40.0,0.4993,0.444,0.3967,0.5386
47,CHARMM36,DOPC (1),303.15,50.0,0.4967,0.6186,0.607,0.6416
682,Slipids,CHOL:POPC (7:8),298.15,50.0,0.4966,0.2349,0.2182,0.1681
674,MacRog,POPC (1),298.15,50.0,0.493,0.665,0.6968,0.6013
551,CHARMM36,DOPC (1),303.15,50.0,0.4823,0.5898,0.5656,0.6381
457,MacRog,POPC (1),300.0,40.0,0.4673,0.6676,0.6858,0.6312
316,CHARMM36,DOPC (1),303.15,50.0,0.4512,0.5558,0.5112,0.6449
87,CHARMM36,DPPC (1),325.0,40.0,0.4412,,,
63,MacRog,POPC (1),298.0,50.0,0.4335,0.5974,0.5854,0.6216
675,MacRog,POPC (1),298.15,50.0,0.4311,0.659,0.6606,0.6558
702,MacRog,CHOL:POPC (1:4),298.15,50.0,0.4304,,,
533,CHARMM36,POPC (1),303.0,31.1,0.4256,,,
390,GAFFlipid,DPPC (1),323.0,30.5,0.3819,,,
658,MacRog,POPC (1),298.15,50.0,0.3818,0.6963,0.707,0.6749
82,slipids,CHOL:POPC (1:1),298.0,39.7,0.3748,0.2479,0.2346,0.1765
319,CHARMM36,DPPC (1),323.0,30.4,0.3746,,,
664,Slipids,POPC (1),298.15,50.0,0.3707,0.5565,0.5601,0.5492
171,"CHARMM36 (center of mass removed independently for upper leaflet, lower leaflet and water+ions)",DPPC (1),325.0,40.0,0.368,,,
199,"CHARMM36 (center of mass removed independently for upper leaflet, lower leaflet and water+ions)",DPPC (1),325.0,30.4,0.3635,,,
512,CHARMM36,POPC (1),313.0,45.0,0.3542,,,
472,OPLSAA-compatible Berger-DPPC-06,DPPC (1),323.0,40.0,0.3529,,,
195,Lipid17,POPE (1),310.0,50.0,0.3519,0.1874,0.2386,0.085
438,CHARMM36,DPPC (1),325.0,40.0,0.346,,,
43,ECC-lipids,POPC (1),300.0,50.0,0.3325,0.4675,0.3768,0.649
742,AMOEBA,DOPC (1),303.0,40.0,0.3199,0.5814,0.5727,0.5988
67,CHARMM36,POPE (1),310.0,50.0,0.3167,0.2471,0.1058,0.5297
422,Chiu Gromos,POPC (1),298.0,27.8,0.3149,0.2249,0.264,0.1467
26,MacRog,POPS (1),298.0,35.0,0.3078,0.1033,0.072,0.1659
151,Berger,POPC (1),303.0,40.4,0.3072,,,
830,C36_Slipids_Hybrid,POPC (1),298.0,50.0,0.3048,0.717,0.7448,0.6615
356,CHARMM36,DMPC (1),333.15,50.0,0.3005,,,
842,PROSECCO,POPS (1),298.0,40.0,0.2835,0.0978,0.0222,0.2491
42,CHARMM36,DMPC (1),333.15,50.0,0.2743,,,
30,Lipid14 with Verlet scheme,POPC (1),298.15,40.0,0.2666,0.3666,0.26,0.5799
543,CHARMM36,CHOL:POPC (7:8),298.15,50.0,0.2622,0.2111,0.1818,0.1866
5,CHARMM36,POPS (1),298.0,35.0,0.2602,0.135,0.0716,0.2618
166,CHARMM36,CHOL:POPC (7:8),298.15,50.0,0.242,0.212,0.1847,0.184
510,CHARMM36,DMPC (1),333.15,50.0,0.2402,,,
691,Slipids,CHOL:POPC (1:4),298.15,50.0,0.2347,,,
254,CHARMM36,DPPC (1),333.15,50.0,0.2253,,,
292,MacRog,POPS (1),298.0,35.0,0.2221,0.115,0.0774,0.1902
309,CHARMM36,DPPC (1),333.15,50.0,0.216,,,
831,C36_Slipids_Hybrid,POPC (1),298.0,50.0,0.2142,0.6389,0.6285,0.6595
790,Charmm36,POPE (1),310.0,40.0,0.2055,0.2271,0.1544,0.3724
687,Slipids,CHOL:POPC (1:4),298.15,50.0,0.2024,,,
27,CHARMM36,DPPC (1),333.15,50.0,0.1766,,,
305,Berger and Modified Höltje model for cholesterol,CHOL:POPC (1:15),298.0,57.0,0.1603,0.3942,0.5802,0.0222
704,MacRog,CHOL:POPC (7:8),298.15,50.0,0.1341,0.1225,0.0884,0.175
797,OpenFF,POPC (1),300.0,40.0,0.1238,0.5887,0.5704,0.6252
882,OPLS-aa,POPE (1),310.0,40.0,0.123,0.065,0.0753,0.0445
483,Lipid17 and Dang ions,POPS (1),298.0,50.0,0.119,0.0429,0.0244,0.0799
115,Berger,POPC (1),300.0,40.4,0.1027,0.4918,0.733,0.0095
894,CHARMM36m,SDPC (1),303.15,46.0,0.101,0.7886,0.7886,0.0
899,CHARMM36m,SDPC (1),303.15,48.0,0.1003,0.7807,0.7808,0.0
900,CHARMM36m,SDPC (1),303.15,48.0,0.0984,0.7835,0.7835,0.0
106,CHARMM36,POPS (1),298.0,35.0,0.0911,0.0863,0.041,0.177
901,CHARMM36m,SDPC (1),303.15,46.0,0.0886,0.7792,0.7792,0.0
480,Berger,POPS (1),298.0,35.0,0.0827,0.0553,0.029,0.1078
692,Slipids,CHOL:POPC (1:4),298.15,50.0,0.0748,,,
497,Berger,POPC (1),298.0,57.0,0.0717,0.4977,0.7328,0.0277
502,Berger,POPS (1),298.0,35.0,0.0695,0.062,0.0286,0.1288
671,MacRog,CHOL:POPC (7:8),298.15,50.0,0.0674,0.2032,0.1607,0.196
699,MacRog,CHOL:POPC (7:8),298.15,50.0,0.0655,0.1937,0.1551,0.1863
701,CHARMM36,POPC (1),298.15,50.0,0.0604,0.4213,0.2892,0.6856
426,CHARMM36,CHOL:POPC (1:8),298.15,50.0,0.0511,,,
164,CHARMM36,POPC (1),300.0,44.4,0.0484,0.4177,0.2896,0.6738
558,CHARMM36,POPC (1),300.0,38.2,0.0455,0.423,0.2948,0.6795
119,CHARMM36,CHOL:POPC (1:8),298.15,50.0,0.045,,,
710,CHARMM36,POPC (1),298.15,50.0,0.0388,0.4017,0.2695,0.6659
202,GROMOS-CKP,POPC (1),298.0,50.0,0.0367,0.152,0.1919,0.0724
109,CHARMM36,CHOL:POPC (1:8),298.15,50.0,0.0337,,,
837,FF-development,POPC (1),300.0,40.0,0.0324,0.5638,0.5676,0.5561
673,Lipid17,CHOL:POPC (5:8),298.15,50.0,0.0189,,,
694,Lipid17,CHOL:POPC (5:8),298.15,50.0,0.0179,,,
678,CHARMM36,POPC (1),298.15,50.0,0.016,0.3912,0.2693,0.6351
670,Slipids,CHOL:POPC (5:8),298.15,50.0,0.0147,,,
903,CHARMM36m,PDPC (1),303.15,45.0,0.0147,,,
820,CHARMM36,SOPC (1),303.15,50.0,0.0138,,,
668,Slipids,CHOL:POPC (5:8),298.15,50.0,0.0131,,,
902,CHARMM36m,PDPC (1),303.15,45.0,0.0122,,,
688,Lipid17,CHOL:POPC (5:8),298.15,50.0,0.009,,,
829,Sage 2.2.1,POPC (1),300.0,40.0,0.0089,0.5107,0.7091,0.114
546,CHARMM36,POPC (1),298.15,50.0,0.0085,0.3669,0.2666,0.5675
661,Slipids,CHOL:POPC (5:8),298.15,50.0,0.0078,,,
730,AMOEBA,POPE (1),310.0,40.0,0.0069,0.1791,0.1656,0.2059
88,CHARMM36,CHOL:POPC (1:4),298.15,50.0,0.0036,,,
833,FF-development,POPC (1),300.0,40.0,0.0029,0.2948,0.1772,0.5299
761,OpenFF,POPC (1),300.0,39.1,0.0019,0.568,0.5584,0.5872
679,MacRog,CHOL:POPC (5:8),298.15,50.0,0.0015,,,
72,CHARMM36,CHOL:POPC (1:4),298.15,50.0,0.0014,,,
716,MacRog,CHOL:POPC (5:8),298.15,50.0,0.0007,,,
550,CHARMM36,CHOL:POPC (5:8),298.15,50.0,0.0007,,,
832,FF-development,POPC (1),300.0,40.0,0.0007,0.2767,0.1768,0.4766
525,CHARMM36,CHOL:POPC (1:4),298.15,50.0,0.0006,,,
275,CHARMM36,CHOL:POPC (5:8),298.15,50.0,0.0004,,,
698,MacRog,CHOL:POPC (5:8),298.15,50.0,0.0003,,,
620,CHARMM36,CHOL:POPC (5:8),298.15,50.0,0.0003,,,
792,OpenFF,POPC (1),300.0,39.1,0.0002,0.5635,0.5484,0.5935
836,FF-development,POPC (1),300.0,40.0,0.0001,0.3347,0.4433,0.1176
835,FF-development,POPC (1),300.0,40.0,0.0,0.1023,0.0058,0.2953
717,Lipid17,CHOL:POPC (7:8),298.15,50.0,0.0,0.3058,0.3187,0.1699
703,Slipids,CHOL:POPC (7:8),298.15,50.0,0.0,0.2101,0.1905,0.1583
712,Slipids,CHOL:POPC (7:8),298.15,50.0,0.0,0.231,0.2141,0.1671
707,Lipid17,CHOL:POPC (7:8),298.15,50.0,0.0,0.2797,0.2883,0.1541
765,Charmm36,SM16 (1),328.15,45.0,0.0,0.3412,0.1706,0.0
731,Charmm-Drude,POPE (1),310.0,35.0,0.0,0.2856,0.3986,0.0593
91,CHARMM36,CHOL:POPC (7:8),298.15,50.0,0.0,0.2038,0.1762,0.1776
838,Parsley 1.3.1,POPC (1),300.0,40.0,0.0,0.183,0.0182,0.5127
828,Sage 2.2.1,POPC (1),300.0,40.0,0.0,0.3899,0.3101,0.5495
834,Sage2.2.0 Espaloma Charges,POPC (1),300.0,40.0,0.0,0.3115,0.1992,0.5361
714,Lipid17,CHOL:POPC (7:8),298.15,50.0,0.0,0.2954,0.3055,0.1653
