ID,FF,composition,T,Hydration,Q_FF,Q_OP,Q_OP_tails,Q_OP_heads
829,Sage 2.2.1,POPC (1),300.0,40.0,1.555,0.5107,0.7091,0.114
497,Berger,POPC (1),298.0,57.0,1.045,0.4977,0.7328,0.0277
115,Berger,POPC (1),300.0,40.4,0.945,0.4918,0.733,0.0095
43,ECC-lipids,POPC (1),300.0,50.0,0.755,0.4675,0.3768,0.649
305,Berger and Modified Höltje model for cholesterol,CHOL:POPC (1:15),298.0,57.0,0.7548,0.4485,0.6601,0.0253
558,CHARMM36,POPC (1),300.0,38.2,1.255,0.423,0.2948,0.6795
701,CHARMM36,POPC (1),298.15,50.0,1.255,0.4213,0.2892,0.6856
164,CHARMM36,POPC (1),300.0,44.4,1.255,0.4177,0.2895,0.6738
710,CHARMM36,POPC (1),298.15,50.0,1.255,0.4017,0.2695,0.6659
678,CHARMM36,POPC (1),298.15,50.0,1.455,0.3912,0.2693,0.6351
828,Sage 2.2.1,POPC (1),300.0,40.0,2.355,0.3899,0.3101,0.5495
589,Berger and Modified Höltje model for cholesterol,CHOL:POPC (9:55),298.0,66.3,0.2661,0.3716,0.5428,0.0291
546,CHARMM36,POPC (1),298.15,50.0,1.555,0.3669,0.2666,0.5675
30,Lipid14 with Verlet scheme,POPC (1),298.15,40.0,0.855,0.3666,0.26,0.5799
378,MacRog,POPC (1),298.0,5.0,,0.3381,0.3136,0.3869
836,FF-development,POPC (1),300.0,40.0,2.155,0.3347,0.4433,0.1176
795,Charmm36,POPC (1),300.0,5.0,,0.3275,0.178,0.6263
834,Sage2.2.0 Espaloma Charges,POPC (1),300.0,40.0,3.045,0.3115,0.1992,0.5361
128,Berger delivered by Peter Tieleman,POPC (1),298.0,7.0,,0.304,0.4353,0.0413
833,FF-development,POPC (1),300.0,40.0,1.645,0.2948,0.1772,0.5299
38,Orange,POPC (1),298.0,40.0,0.255,0.2904,0.4069,0.0574
832,FF-development,POPC (1),300.0,40.0,1.845,0.2767,0.1768,0.4766
422,Chiu Gromos,POPC (1),298.0,27.8,0.755,0.2249,0.264,0.1467
838,Parsley 1.3.1,POPC (1),300.0,40.0,5.255,0.183,0.0182,0.5127
299,Berger and Modified Höltje model for cholesterol,CHOL:POPC (1:1),298.0,80.6,1.2858,0.1575,0.2028,0.0667
202,GROMOS-CKP,POPC (1),298.0,50.0,1.355,0.152,0.1919,0.0724
206,Berger and Modified Höltje model for cholesterol,CHOL:POPC (11:21),298.0,53.1,0.329,0.1455,0.1695,0.0978
15,Berger and Modified Höltje model for cholesterol,CHOL:POPC (39:25),298.0,45.2,,0.1284,0.1528,0.0798
835,FF-development,POPC (1),300.0,40.0,6.355,0.1023,0.0058,0.2953
58,CHARMM36,POPC:POPG (175:44),298.0,60.0,,0.0063,,0.0063
503,Lipid17,POPC:POPG (1:1),298.0,105.2,,0.0037,,0.0037
307,Slipids,POPC:POPG (1:1),298.0,50.0,,0.0033,,0.0033
592,CHARMM36,POPC:POPG (1:1),298.0,105.0,,0.0024,,0.0024
429,lipid17ecc,POPC:POPG (175:44),298.0,60.0,,0.0014,,0.0014
146,lipid17ecc,POPC:POPG (1:1),298.0,99.6,,0.0014,,0.0014
317,lipid17,POPC:POPG (175:44),298.0,60.0,,0.0004,,0.0004
